feature	logFC	AveExpr	t	P.Value	adj.P.Val	B
ILMN_1704173	0.371698730132289	4.70006875518208	4.79254206470725	5.20219991047103e-06	0.00588216993870709	3.79972360126078
ILMN_1800634	0.321166346033995	6.36470054170226	4.7922893233368	5.20762036349777e-06	0.00588216993870709	3.79879511021158
ILMN_1670535	0.397912028608031	8.77380608956356	4.77205849790929	5.65974868521686e-06	0.00619913988567161	3.7245730867449
ILMN_1758049	0.494390171935017	6.28697605259788	4.75889844983008	5.97406099655001e-06	0.00632961428690392	3.67639796024701
ILMN_1728426	0.386509799010991	6.26539989375006	4.74967320492185	6.20442220218635e-06	0.00632961428690392	3.64267698856518
ILMN_1701461	0.539965020717228	4.46681535512869	4.7457792475528	6.30422228049636e-06	0.00632961428690392	3.62845582869442
ILMN_1705302	0.401410024267463	5.18307624942992	4.72651223117715	6.82138219522108e-06	0.00666375295800718	3.55819917170683
ILMN_1802167	0.554696383335577	5.3816846133185	4.70945120993137	7.3134845306473e-06	0.00695647100948017	3.49613803044688
ILMN_2148459	0.436725012483912	8.25722536180777	4.69642150467435	7.7123130541974e-06	0.00714773218830679	3.44883742574361
ILMN_1710297	0.52804543525602	3.05732194713859	4.67784023311491	8.31773071309565e-06	0.00733455981013979	3.38152827427246
ILMN_3298037	0.346273803369127	6.33602510550373	4.67778081546801	8.31973861435141e-06	0.00733455981013979	3.38131331255153
ILMN_1751439	0.674969659197568	4.91854510911977	4.64312472620783	9.57449638636736e-06	0.00802419032383577	3.25623318135645
ILMN_1737323	-0.603099953689046	3.3140122020546	-4.63588246340644	9.858948572044e-06	0.00802419032383577	3.23017024166698
ILMN_1693896	-0.327014670333563	4.84176694974311	-4.63423752828434	9.92468729688658e-06	0.00802419032383577	3.22425422821496
ILMN_1801340	-0.381365597924667	3.65038164545668	-4.63261365618897	9.99000040317083e-06	0.00802419032383577	3.21841529893679
ILMN_3274775	-0.489865130926396	4.8925881642955	-4.62464067310257	1.03167626715744e-05	0.00810650840791427	3.18976618440783
ILMN_3235061	-0.410904817076508	2.99290373877508	-4.61325868964735	1.08012235403617e-05	0.00830660052907176	3.14892299769656
ILMN_1767337	0.446925139627036	6.45008593147487	4.57266407941094	1.27148953505523e-05	0.009574581092619	3.00378656745101
ILMN_1799151	-0.44599296733995	4.42790476331881	-4.54203560349081	1.43718044096554e-05	0.0103988512577	2.89483748514246
ILMN_1734929	0.594690205130478	4.26329966294709	4.53686138912583	1.46715848282587e-05	0.0103988512577	2.87647972348548
ILMN_1765459	0.545224211153511	6.18655317207225	4.53636949805711	1.47003962622681e-05	0.0103988512577	2.87473524470566
ILMN_1739594	0.514635044329409	4.86222954412455	4.53197376432803	1.49603061391728e-05	0.0103988512577	2.85915142522142
ILMN_1836469	-0.287767888810223	6.74436958273316	-4.52717119758678	1.52493474426039e-05	0.0103997672323192	2.8421366859153
ILMN_2196609	0.391435917969489	2.88947909775502	4.52092483137271	1.56333667875303e-05	0.0104063286475534	2.82002461215667
ILMN_1704537	0.398856385975884	6.70788268128451	4.51770774207259	1.58347786862757e-05	0.0104063286475534	2.80864401936064
ILMN_1682699	0.322398733114825	6.25894604203648	4.5066501941819	1.65463537666618e-05	0.0106797849445713	2.76956834757063
ILMN_1675268	0.436578885070322	5.59730708869039	4.49734692773056	1.71688768405937e-05	0.0108769101531307	2.73674120228801
ILMN_1719599	0.630843238237582	6.49658630939595	4.49319983288258	1.74536115335891e-05	0.0108769101531307	2.72212243401396
ILMN_2101651	-0.306759119305483	7.33757143977338	-4.4851308729895	1.80207420989796e-05	0.0110399953079257	2.69370453660919
ILMN_1710192	-0.337725494028514	5.66550158905318	-4.4736888573556	1.88555510259065e-05	0.0113114401554324	2.65346545193543
ILMN_1666536	-0.301687067306499	4.44714817601709	-4.46711685470821	1.93517977785258e-05	0.0113114401554324	2.63038413701999
ILMN_1665428	0.488311687084005	3.78794250543756	4.46645243055143	1.94026639822053e-05	0.0113114401554324	2.62805189546262
ILMN_2246382	-0.399611066491387	3.40356625853245	-4.45321533994819	2.04433681469984e-05	0.0114237373126352	2.58163579924791
ILMN_1704665	0.323155463732512	9.16353884861437	4.45214697914181	2.05296733607484e-05	0.0114237373126352	2.57789359291651
ILMN_1656254	0.484373878294361	4.00917708279406	4.44700846226694	2.09497138505444e-05	0.0114237373126352	2.55990303002312
ILMN_2354381	0.471492952428126	6.48635882955877	4.44291800986069	2.12899985272012e-05	0.0114237373126352	2.54559182208121
ILMN_1904606	-0.370230672660109	3.0510255270389	-4.44078332650664	2.1469694475904e-05	0.0114237373126352	2.53812674369018
ILMN_1683194	0.639910009311288	5.88511335449597	4.44052419794094	2.14916070620887e-05	0.0114237373126352	2.5372207239317
ILMN_2202806	-0.392878852826585	3.52607247476415	-4.42738832074144	2.26311302612731e-05	0.0118551043955611	2.49133884881235
ILMN_1704056	0.464448089207909	8.3700531914477	4.42028334832594	2.32715433897584e-05	0.0118910841101524	2.46656022950506
ILMN_2058782	0.640424654903988	6.66165352666224	4.4168708643967	2.35853104158744e-05	0.0118910841101524	2.45466870813482
ILMN_2264011	0.335483196537359	4.79435780133146	4.41577684159575	2.36867632018528e-05	0.0118910841101524	2.45085766491289
ILMN_1680925	0.408918776092181	5.53017234488045	4.40849241395466	2.43730852072989e-05	0.0120652791751015	2.42549850130646
ILMN_2361603	0.401702306001113	8.2630213625951	4.4050778605356	2.47013600486239e-05	0.0120652791751015	2.41362120006806
ILMN_1773553	0.426118276798395	3.71968717033777	4.38671941425081	2.65407235081926e-05	0.0127908593493816	2.34986927314911
ILMN_1667037	-0.52406447262094	3.75847651186932	-4.36167766644322	2.92637396183091e-05	0.0139176035329445	2.26320014905081
ILMN_2390853	0.39252972809415	5.17512371011182	4.34934410630969	3.07019297138966e-05	0.014411964279335	2.22063806019623
ILMN_1769546	0.523843463381853	5.55874413750747	4.32656365350953	3.35392650279171e-05	0.0153806007313102	2.14224122417456
ILMN_1893075	-0.294743428956031	4.25424954949263	-4.32597004786224	3.36164741395353e-05	0.0153806007313102	2.14020215358224
ILMN_3204136	0.453881159491448	4.18007735546512	4.313710976627	3.52497792624125e-05	0.0157632861237658	2.09813444440984
ILMN_1764754	0.479987746483976	4.05840591284996	4.31315883346417	3.53251120770515e-05	0.0157632861237658	2.09624166273115
ILMN_1780508	-0.304688336616711	7.87754099795228	-4.29935091780348	3.72602156804431e-05	0.016251492475768	2.04896146048132
ILMN_1719290	-0.439080575899375	3.7841070201814	-4.29718125284919	3.757340916936e-05	0.016251492475768	2.04154171946179
ILMN_1743655	0.327024349694022	4.84928132845568	4.29584177091267	3.77680278866927e-05	0.016251492475768	2.03696229670991
ILMN_1787949	0.453221624939845	7.35964404790881	4.28555836704057	3.92947906593833e-05	0.0165949926129804	2.00183818787185
ILMN_1771987	0.334137514024223	4.91563138733161	4.28430715658221	3.9484558437303e-05	0.0165949926129804	1.9975685052028
ILMN_3305273	0.460518702527688	5.0357810551652	4.27424181890801	4.10435440670111e-05	0.017051941382783	1.96325248389556
ILMN_1667893	0.473930264641106	5.78179479876366	4.26147846000167	4.31056946979132e-05	0.0176084522339615	1.91981839999258
ILMN_1694709	-0.449887090828327	4.41971131361391	-4.25996112544704	4.33573730480722e-05	0.0176084522339615	1.91466085545389
ILMN_1682957	0.344169474212809	5.56342574914811	4.24537970447664	4.58491056928774e-05	0.0182568043283766	1.86516245212943
ILMN_1782439	0.393535449761128	7.63974722552461	4.24472580731737	4.59640114506093e-05	0.0182568043283766	1.86294548306548
ILMN_1683552	-0.332324434941301	5.13430149934702	-4.23871439942923	4.70334129415883e-05	0.0184785077258012	1.84257557853342
ILMN_1725188	-0.3255011608596	5.04716280078472	-4.23165227358441	4.83202897648081e-05	0.0187799663822472	1.81867096526181
ILMN_1694548	0.508145500702494	4.90039395136825	4.22164783051258	5.02013780593291e-05	0.0193034979782388	1.78485449768905
ILMN_1740938	0.550714838635501	5.55675130369496	4.21127926297885	5.22250929822505e-05	0.0198702735351942	1.74986626746361
ILMN_1770412	0.288685511082062	7.49944413755085	4.18863984203267	5.69196692828986e-05	0.0212665441761591	1.67368020924705
ILMN_1729225	0.412684406216036	3.55846955311439	4.18793727682191	5.70716498848371e-05	0.0212665441761591	1.67132055253585
ILMN_2139396	0.506597841654028	6.21251871895306	4.18260530418454	5.82378402270918e-05	0.021386017723562	1.65342149866407
ILMN_2384122	0.535707675465411	5.59556232060133	4.18108007314133	5.85756191626127e-05	0.021386017723562	1.64830435639013
ILMN_1763852	0.417046660161096	6.9039762310319	4.17598962585575	5.97166190716742e-05	0.0215263862727805	1.63123544061151
ILMN_1743939	-0.318134071628589	4.96243014917339	-4.1740753192338	6.01511969442752e-05	0.0215263862727805	1.62482031629477
ILMN_1781102	-0.371093795871836	3.87536950804505	-4.1691986382302	6.12720392787647e-05	0.0215968627191753	1.60848720409796
ILMN_3273788	0.334190726545934	3.88504901085767	4.16540319966407	6.2158214289931e-05	0.0215968627191753	1.59578473539731
ILMN_1774134	-0.285515425356437	5.36843123931555	-4.1636911525799	6.25619633923953e-05	0.0215968627191753	1.59005757495475
