logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
0.252341549212039,0.0430791286680942,18.9303437146693,9.32920151074998e-60,1.39978234736727e-57,125.284058045545,BOC
-0.492292125916497,-0.316718606169165,-18.9263488253716,9.73855399577729e-60,1.44871395125217e-57,125.241345752308,PAK1
0.394302638922045,0.0758781795631692,18.9183862971491,1.06087879474968e-59,1.56479622225578e-57,125.15621598174,C20orf54
-0.274289502040311,-0.0913630390344754,-18.9133663227538,1.11969406500382e-59,1.63767018499088e-57,125.102548310082,TASP1
0.387381970686421,-0.0495352029473233,18.9106638848014,1.15269451002559e-59,1.65828111887206e-57,125.073657779377,ADORA3
0.386857494644358,0.0380049789314775,18.9057961923302,1.21460703690914e-59,1.73280618667242e-57,125.021620849978,CLEC2B
-0.451460542113909,-0.268253595997859,-18.9022876592341,1.2612830766079e-59,1.77037354422262e-57,124.984114774152,SCN3B
-0.212971039897085,-0.0445832494465225,-18.8914843822283,1.41656515625484e-59,1.97242532356924e-57,124.868633869594,VKORC1L1
-0.406132321193177,-0.215194122036103,-18.8721848501485,1.7430397566616e-59,2.37012554411681e-57,124.662354291032,NGFRAP1L1
-0.217374409548684,-0.061711844493576,-18.8293998212664,2.76020765839522e-59,3.66728353392128e-57,124.205153456023,CYCS
-0.249621241470795,-0.103741322022612,-18.8083177179232,3.46169353465175e-59,4.56445272504649e-57,123.97992102237,PGAM5
-0.204680090051016,-0.00679125723019272,-18.7989580645808,3.82777308268089e-59,4.93499188918969e-57,123.879937267812,UBE2E4P
-0.317325213053551,0.0230460969396146,-18.7972903142811,3.89695153655542e-59,4.98723834512846e-57,123.862122363913,OLFM1
-0.230963041365238,-0.102703074179015,-18.7866464812016,4.36886301251531e-59,5.55036939655686e-57,123.748430018898,TCEAL7
-0.326584118831969,-0.118949403905782,-18.7774347051742,4.82313706967194e-59,6.08309425345218e-57,123.650041293459,PCP4L1
0.218840642171982,0.00174608509633833,18.7604466395289,5.78828329332164e-59,7.19607648001879e-57,123.468613216482,OSBPL11
0.220390749872584,0.0494261525312634,18.7369789616145,7.44680842485067e-59,9.19231919393801e-57,123.218021738257,DOK1
