repeat_id,alpha,lambda_1se,oof_auc,n_genes
26,0.7,0.00711231042433313,0.952393671666324,20
26,0.85,0.00642826627924271,0.951674542839532,20
26,1,0.00599676215987009,0.950996507088556,20
27,0.4,0.679864695928839,0.929833573042942,3
27,0.55,0.49444705158461,0.929073351140333,3
27,0.7,0.353981365787509,0.930593794945552,3
27,0.85,0.265616759770741,0.929977398808301,3
27,1,0.170789937257885,0.929093897678241,3
28,0.4,0.0180578031291335,0.948037805629751,17
28,0.55,0.014413393921266,0.948941853297719,17
28,0.7,0.0136407731470287,0.947400862954592,16
28,0.85,0.0102356177874529,0.948736387918636,15
28,1,0.00870027511933499,0.947955619478118,12
29,0.4,0.00941535351783689,0.952023833983974,23
29,0.55,0.00751515553636851,0.952722416272858,21
29,0.7,0.00711231042433313,0.952208752825149,20
29,0.85,0.00585719682003905,0.95194164783234,20
29,1,0.00497861729703319,0.951386891308814,21
30,0.4,0.0149919053996752,0.949989726731046,18
30,0.55,0.0119662528498416,0.950215738648038,18
30,0.7,0.00940205581058985,0.951386891308814,18
30,0.85,0.00774286949107399,0.951880008218615,18
30,1,0.00658143906741289,0.951880008218615,17
